a 	 ఒక 	(Oka)	
cat 	 పిల్లి 	(Pilli)	
catch 	 క్యాచ్ 	(Kyāc)	
catch up 	 పట్టుకోండి 	(Paṭṭukōṇḍi)	
category 	 వర్గం 	(Vargaṁ)	
cause 	 కారణం 	(Kāraṇaṁ)	
CD 	 CD 	(CD)	
cease 	 నిలిపివేయండి 	(Nilipivēyaṇḍi)	
ceiling 	 పైకప్పు 	(Paikappu)	
celebrate 	 జరుపుకుంటారు 	(Jarupukuṇṭāru)	
celebration 	 వేడుక 	(Vēḍuka)	
cell 	 సెల్ 	(Sel)	
cell phone 	 సెల్ ఫోన్ 	(Sel phōn)	
cent 	 సెంటు 	(Seṇṭu)	
centimetre 	 సెంటీమీటర్ 	(Seṇṭīmīṭar)	
central 	 కేంద్ర 	(Kēndra)	
centre 	 కేంద్రం 	(Kēndraṁ)	
century 	 శతాబ్దం 	(Śatābdaṁ)	
ceremony 	 వేడుక 	(Vēḍuka)	
certain 	 ఖచ్చితంగా 	(Khaccitaṅgā)	
certainly 	 ఖచ్చితంగా 	(Khaccitaṅgā)	
certificate 	 సర్టిఫికేట్ 	(Sarṭiphikēṭ)	
chain 	 గొలుసు 	(Golusu)	
chair 	 కుర్చీ 	(Kurcī)	
chairman 	 చైర్మన్ 	(Cairman)	
chairwoman 	 అధ్యక్షురాలు 	(Adhyakṣurālu)	
challenge 	 సవాలు 	(Savālu)	
chamber 	 గది 	(Gadi)	
chance 	 అవకాశం 	(Avakāśaṁ)	
change 	 మార్పు 	(Mārpu)	
change round 	 రౌండ్ మార్చండి 	(Rauṇḍ mārcaṇḍi)	
channel 	 ఛానెల్ 	(Chānel)	
chapter 	 అధ్యాయం 	(Adhyāyaṁ)	
character 	 పాత్ర 	(Pātra)	
characteristic 	 లక్షణం 	(Lakṣaṇaṁ)	
charge 	 వసూలు 	(Vasūlu)	
charity 	 దాతృత్వం 	(Dātr̥tvaṁ)	
chart 	 చార్ట్ 	(Cārṭ)	
chase 	 వెంబడించు 	(Vembaḍin̄cu)	
chase away 	 తరిమికొట్టండి 	(Tarimikoṭṭaṇḍi)	
chat 	 చాట్ 	(Cāṭ)	
cheap 	 చౌక 	(Cauka)	
cheaply 	 చౌకగా 	(Caukagā)	
cheat 	 మోసం 	(Mōsaṁ)	
cheat of 	 మోసం 	(Mōsaṁ)	
check 	 తనిఖీ 	(Tanikhī)	
check in 	 చెక్ ఇన్ 	(Cek in)	
check into 	 తనిఖీ 	(Tanikhī)	
check on 	 తనిఖీ చేయండి 	(Tanikhī cēyaṇḍi)	
check out 	 తనిఖీ చేయండి 	(Tanikhī cēyaṇḍi)	
check over 	 తనిఖీ చేయండి 	(Tanikhī cēyaṇḍi)	
check up on 	 తనిఖీ 	(Tanikhī)	
cheek 	 చెంప 	(Cempa)	
cheerful 	 ఉల్లాసంగా 	(Ullāsaṅgā)	
cheerfully 	 ఉల్లాసంగా 	(Ullāsaṅgā)	
cheese 	 జున్ను 	(Junnu)	
chemical 	 రసాయన 	(Rasāyana)	
chemist 	 రసాయన శాస్త్రవేత్త 	(Rasāyana śāstravētta)	
chemistry 	 రసాయన శాస్త్రం 	(Rasāyana śāstraṁ)	
cheque 	 తనిఖీ 	(Tanikhī)	
chest 	 ఛాతీ 	(Chātī)	
chew 	 నమలండి 	(Namalaṇḍi)	
chicken 	 చికెన్ 	(Ciken)	
chief 	 అధినేత 	(Adhinēta)	
child 	 బిడ్డ 	(Biḍḍa)	
chin 	 గడ్డం 	(Gaḍḍaṁ)	
chip 	 చిప్ 	(Cip)	
chocolate 	 చాక్లెట్ 	(Cākleṭ)	
choice 	 ఎంపిక 	(Empika)	
choose 	 ఎంచుకోండి 	(En̄cukōṇḍi)	
chop 	 గొడ్డలితో నరకడం 	(Goḍḍalitō narakaḍaṁ)	
chop down 	 గొడ్డలితో నరకడం 	(Goḍḍalitō narakaḍaṁ)	
chop off 	 గొడ్డలితో నరకడం 	(Goḍḍalitō narakaḍaṁ)	
church 	 చర్చి 	(Carci)	
cigarette 	 సిగరెట్ 	(Sigareṭ)	
cinema 	 సినిమా 	(Sinimā)	
circle 	 సర్కిల్ 	(Sarkil)	
circumstance 	 పరిస్థితి 	(Paristhiti)	
citizen 	 పౌరుడు 	(Pauruḍu)	
city 	 నగరం 	(Nagaraṁ)	
civil 	 పౌర 	(Paura)	
claim 	 దావా 	(Dāvā)	
clap 	 చప్పట్లు కొట్టండి 	(Cappaṭlu koṭṭaṇḍi)	
class 	 తరగతి 	(Taragati)	
classic 	 క్లాసిక్ 	(Klāsik)	
classroom 	 తరగతి గది 	(Taragati gadi)	
clean 	 శుభ్రంగా 	(Śubhraṅgā)	
clean up 	 శుభ్రం 	(Śubhraṁ)	
clear 	 స్పష్టమైన 	(Spaṣṭamaina)	
clearly 	 స్పష్టంగా 	(Spaṣṭaṅgā)	
clear out 	 క్లియర్ అవుట్ 	(Kliyar avuṭ)	
clear up 	 క్లియర్ చేయండి 	(Kliyar cēyaṇḍi)	
clerk 	 గుమాస్తా 	(Gumāstā)	
clever 	 తెలివైన 	(Telivaina)	
click 	 క్లిక్ చేయండి 	(Klik cēyaṇḍi)	
client 	 క్లయింట్ 	(Klayiṇṭ)	
climate 	 వాతావరణం 	(Vātāvaraṇaṁ)	
climb 	 ఎక్కండి 	(Ekkaṇḍi)	
climbing 	 ఎక్కడం 	(Ekkaḍaṁ)	
clock 	 గడియారం 	(Gaḍiyāraṁ)	
close 1 	 మూసివేయి 1 	(Mūsivēyi 1)	
close 2 	 దగ్గరగా 2 	(Daggaragā 2)	
closed 	 మూసివేయబడింది 	(Mūsivēyabaḍindi)	
closely 	 దగ్గరగా 	(Daggaragā)	
closet 	 గది 	(Gadi)	
cloth 	 గుడ్డ 	(Guḍḍa)	
clothes 	 బట్టలు 	(Baṭṭalu)	
clothing 	 దుస్తులు 	(Dustulu)	
cloud 	 మేఘం 	(Mēghaṁ)	
club 	 క్లబ్ 	(Klab)	
coach 	 కోచ్ 	(Kōc)	
coal 	 బొగ్గు 	(Boggu)	
coast 	 తీరం 	(Tīraṁ)	
coat 	 కోటు 	(Kōṭu)	
code 	 కోడ్ 	(Kōḍ)	
coffee 	 కాఫీ 	(Kāphī)	
coin 	 నాణెం 	(Nāṇeṁ)	
cold 	 చల్లని 	(Callani)	
coldly 	 చల్లగా 	(Callagā)	
collapse 	 కూలిపోతుంది 	(Kūlipōtundi)	
colleague 	 సహోద్యోగి 	(Sahōdyōgi)	
collect 	 సేకరించండి 	(Sēkarin̄caṇḍi)	
collection 	 సేకరణ 	(Sēkaraṇa)	
college 	 కళాశాల 	(Kaḷāśāla)	
colour 	 రంగు 	(Raṅgu)	
coloured 	 రంగులద్దిన 	(Raṅguladdina)	
column 	 కాలమ్ 	(Kālam)	
combination 	 కలయిక 	(Kalayika)	
combine 	 కలపండి 	(Kalapaṇḍi)	
come 	 వస్తాయి 	(Vastāyi)	
come across 	 అంతటా వస్తాయి 	(Antaṭā vastāyi)	
come down 	 క్రిందికి రండి 	(Krindiki raṇḍi)	
comedy 	 హాస్యం 	(Hāsyaṁ)	
come from 	 నుండి వస్తాయి 	(Nuṇḍi vastāyi)	
come in 	 లోపలికి రండి 	(Lōpaliki raṇḍi)	
come off 	 బయటకు వస్తాయి 	(Bayaṭaku vastāyi)	
come on 	 రండి 	(Raṇḍi)	
come out 	 బయటకు వస్తాయి 	(Bayaṭaku vastāyi)	
come round 	 చుట్టూ రండి 	(Cuṭṭū raṇḍi)	
come to 	 కు వస్తాయి 	(Ku vastāyi)	
come up 	 పైకి వస్తాయి 	(Paiki vastāyi)	
come up to 	 వరకు వస్తాయి 	(Varaku vastāyi)	
comfort 	 సౌకర్యం 	(Saukaryaṁ)	
comfortable 	 సౌకర్యవంతమైన 	(Saukaryavantamaina)	
comfortably 	 హాయిగా 	(Hāyigā)	
command 	 ఆదేశం 	(Ādēśaṁ)	
comment 	 వ్యాఖ్యానించండి 	(Vyākhyānin̄caṇḍi)	
commercial 	 వాణిజ్య 	(Vāṇijya)	
commission 	 కమిషన్ 	(Kamiṣan)	
commit 	 కట్టుబడి 	(Kaṭṭubaḍi)	
commitment 	 నిబద్ధత 	(Nibad'dhata)	
committee 	 కమిటీ 	(Kamiṭī)	
common 	 సాధారణ 	(Sādhāraṇa)	
commonly 	 సాధారణంగా 	(Sādhāraṇaṅgā)	
communicate 	 సంభాషించండి 	(Sambhāṣin̄caṇḍi)	
communication 	 కమ్యూనికేషన్ 	(Kamyūnikēṣan)	
community 	 సంఘం 	(Saṅghaṁ)	
company 	 సంస్థ 	(Sanstha)	
compare 	 సరిపోల్చండి 	(Saripōlcaṇḍi)	
comparison 	 పోలిక 	(Pōlika)	
compete 	 పోటీ చేస్తారు 	(Pōṭī cēstāru)	
competition 	 పోటీ 	(Pōṭī)	
competitive 	 పోటీ 	(Pōṭī)	
complain 	 ఫిర్యాదు 	(Phiryādu)	
complaint 	 ఫిర్యాదు 	(Phiryādu)	
complete 	 పూర్తి 	(Pūrti)	
completely 	 పూర్తిగా 	(Pūrtigā)	
complex 	 క్లిష్టమైన 	(Kliṣṭamaina)	
complicate 	 క్లిష్టతరం చేస్తాయి 	(Kliṣṭataraṁ cēstāyi)	
complicated 	 సంక్లిష్టమైనది 	(Saṅkliṣṭamainadi)	
computer 	 కంప్యూటర్ 	(Kampyūṭar)	
concentrate 	 ఏకాగ్రత 	(Ēkāgrata)	
concentrate on 	 ఏకాగ్రత 	(Ēkāgrata)	
concentration 	 ఏకాగ్రత 	(Ēkāgrata)	
concept 	 భావన 	(Bhāvana)	
concern 	 ఆందోళన 	(Āndōḷana)	
concerned 	 ఆందోళన చెందింది 	(Āndōḷana cendindi)	
concerning 	 సంబంధించిన 	(Sambandhin̄cina)	
concert 	 కచేరీ 	(Kacērī)	
conclude 	 ముగించారు 	(Mugin̄cāru)	
conclusion 	 ముగింపు 	(Mugimpu)	
concrete 	 కాంక్రీటు 	(Kāṅkrīṭu)	
condition 	 పరిస్థితి 	(Paristhiti)	
conduct 	 ప్రవర్తన 	(Pravartana)	
conference 	 సమావేశం 	(Samāvēśaṁ)	
confidence 	 విశ్వాసం 	(Viśvāsaṁ)	
confident 	 నమ్మకంగా 	(Nam'makaṅgā)	
confidently 	 నమ్మకంగా 	(Nam'makaṅgā)	
confine 	 నిర్బంధించండి 	(Nirbandhin̄caṇḍi)	
confined 	 పరిమితమైంది 	(Parimitamaindi)	
confirm 	 నిర్ధారించండి 	(Nirdhārin̄caṇḍi)	
conflict 	 సంఘర్షణ 	(Saṅgharṣaṇa)	
confront 	 ఎదుర్కొంటారు 	(Edurkoṇṭāru)	
confuse 	 గందరగోళం 	(Gandaragōḷaṁ)	
confused 	 అయోమయంలో పడ్డాడు 	(Ayōmayanlō paḍḍāḍu)	
confusing 	 గందరగోళంగా 	(Gandaragōḷaṅgā)	
confusion 	 గందరగోళం 	(Gandaragōḷaṁ)	
congratulate 	 అభినందనలు 	(Abhinandanalu)	
congratulation 	 అభినందనలు 	(Abhinandanalu)	
congress 	 కాంగ్రెస్ 	(Kāṅgres)	
connect 	 కనెక్ట్ చేయండి 	(Kanekṭ cēyaṇḍi)	
connected 	 కనెక్ట్ చేయబడింది 	(Kanekṭ cēyabaḍindi)	
connection 	 కనెక్షన్ 	(Kanekṣan)	
conscious 	 చేతనైన 	(Cētanaina)	
consequence 	 పర్యవసానంగా 	(Paryavasānaṅgā)	
conservative 	 సంప్రదాయవాది 	(Sampradāyavādi)	
consider 	 పరిగణించండి 	(Parigaṇin̄caṇḍi)	
considerable 	 గణనీయమైన 	(Gaṇanīyamaina)	
considerably 	 గణనీయంగా 	(Gaṇanīyaṅgā)	
consideration 	 పరిశీలన 	(Pariśīlana)	
consist 	 కలిగి ఉంటాయి 	(Kaligi uṇṭāyi)	
consist of 	 కలిగి ఉంటాయి 	(Kaligi uṇṭāyi)	
constant 	 స్థిరమైన 	(Sthiramaina)	
constantly 	 నిరంతరం 	(Nirantaraṁ)	
construct 	 నిర్మించు 	(Nirmin̄cu)	
construction 	 నిర్మాణం 	(Nirmāṇaṁ)	
consult 	 సంప్రదించండి 	(Sampradin̄caṇḍi)	
consumer 	 వినియోగదారుడు 	(Viniyōgadāruḍu)	
contact 	 సంప్రదించండి 	(Sampradin̄caṇḍi)	
contain 	 కలిగి ఉంటాయి 	(Kaligi uṇṭāyi)	
container 	 కంటైనర్ 	(Kaṇṭainar)	
contemporary 	 సమకాలీన 	(Samakālīna)	
content 1 	 కంటెంట్ 1 	(Kaṇṭeṇṭ 1)	
contest 	 పోటీ 	(Pōṭī)	
context 	 సందర్భం 	(Sandarbhaṁ)	
continent 	 ఖండం 	(Khaṇḍaṁ)	
continue 	 కొనసాగుతుంది 	(Konasāgutundi)	
continuous 	 నిరంతర 	(Nirantara)	
continuously 	 నిరంతరం 	(Nirantaraṁ)	
contract 	 ఒప్పందం 	(Oppandaṁ)	
contrast 	 విరుద్ధంగా 	(Virud'dhaṅgā)	
contrasting 	 విరుద్ధంగా 	(Virud'dhaṅgā)	
contribute 	 సహకరించండి 	(Sahakarin̄caṇḍi)	
contribution 	 సహకారం 	(Sahakāraṁ)	
control 	 నియంత్రణ 	(Niyantraṇa)	
controlled 	 నియంత్రించబడింది 	(Niyantrin̄cabaḍindi)	
convenient 	 అనుకూలమైనది 	(Anukūlamainadi)	
convention 	 సమావేశం 	(Samāvēśaṁ)	
conventional 	 సంప్రదాయ 	(Sampradāya)	
conversation 	 సంభాషణ 	(Sambhāṣaṇa)	
convert 	 మార్చు 	(Mārcu)	
convince 	 ఒప్పించండి 	(Oppin̄caṇḍi)	
cook 	 ఉడికించాలి 	(Uḍikin̄cāli)	
cooker 	 కుక్కర్ 	(Kukkar)	
cookie 	 కుక్కీ 	(Kukkī)	
cooking 	 వంట 	(Vaṇṭa)	
cool 	 చల్లని 	(Callani)	
cool down 	 చల్లబరుస్తుంది 	(Callabarustundi)	
cope 	 భరించవలసి ఉంటుంది 	(Bharin̄cavalasi uṇṭundi)	
copy 	 కాపీ 	(Kāpī)	
core 	 కోర్ 	(Kōr)	
corner 	 మూలలో 	(Mūlalō)	
correct 	 సరైనది 	(Sarainadi)	
correctly 	 సరిగ్గా 	(Sariggā)	
cost 	 ఖర్చు 	(Kharcu)	
cottage 	 కుటీర 	(Kuṭīra)	
cotton 	 పత్తి 	(Patti)	
cough 	 దగ్గు 	(Daggu)	
coughing 	 దగ్గు 	(Daggu)	
could 	 కాలేదు 	(Kālēdu)	
council 	 కౌన్సిల్ 	(Kaunsil)	
count 	 లెక్కించండి 	(Lekkin̄caṇḍi)	
counter 	 కౌంటర్ 	(Kauṇṭar)	
count on 	 లెక్కించు 	(Lekkin̄cu)	
country 	 దేశం 	(Dēśaṁ)	
countryside 	 పల్లెటూరు 	(Palleṭūru)	
county 	 కౌంటీ 	(Kauṇṭī)	
couple 	 జంట 	(Jaṇṭa)	
courage 	 ధైర్యం 	(Dhairyaṁ)	
course 	 కోర్సు 	(Kōrsu)	
court 	 కోర్టు 	(Kōrṭu)	
cousin 	 బంధువు 	(Bandhuvu)	
cover 	 కవర్ 	(Kavar)	
covered 	 కవర్ చేయబడింది 	(Kavar cēyabaḍindi)	
covering 	 కవరింగ్ 	(Kavariṅg)	
cover up 	 కప్పిపుచ్చుకుంటారు 	(Kappipuccukuṇṭāru)	
cow 	 ఆవు 	(Āvu)	
crack 	 పగుళ్లు 	(Paguḷlu)	
cracked 	 పగులగొట్టింది 	(Pagulagoṭṭindi)	
craft 	 క్రాఫ్ట్ 	(Krāphṭ)	
crash 	 క్రాష్ 	(Krāṣ)	
crazy 	 వెర్రి 	(Verri)	
cream 	 క్రీమ్ 	(Krīm)	
create 	 సృష్టించు 	(Sr̥ṣṭin̄cu)	
creature 	 జీవి 	(Jīvi)	
credit 	 క్రెడిట్ 	(Kreḍiṭ)	
credit card 	 క్రెడిట్ కార్డ్ 	(Kreḍiṭ kārḍ)	
crime 	 నేరం 	(Nēraṁ)	
criminal 	 నేరస్థుడు 	(Nērasthuḍu)	
crisis 	 సంక్షోభం 	(Saṅkṣōbhaṁ)	
crisp 	 స్ఫుటమైన 	(Sphuṭamaina)	
criterion 	 ప్రమాణం 	(Pramāṇaṁ)	
critical 	 క్లిష్టమైన 	(Kliṣṭamaina)	
criticism 	 విమర్శ 	(Vimarśa)	
criticize 	 విమర్శించండి 	(Vimarśin̄caṇḍi)	
crop 	 పంట 	(Paṇṭa)	
cross 	 క్రాస్ 	(Krās)	
cross out 	 క్రాస్ అవుట్ 	(Krās avuṭ)	
crowd 	 గుంపు 	(Gumpu)	
crowded 	 రద్దీగా ఉంది 	(Raddīgā undi)	
crown 	 కిరీటం 	(Kirīṭaṁ)	
crucial 	 కీలకమైన 	(Kīlakamaina)	
cruel 	 క్రూరమైన 	(Krūramaina)	
crush 	 క్రష్ 	(Kraṣ)	
cry 	 ఏడుస్తారు 	(Ēḍustāru)	
cry out 	 కేకలు వేయండి 	(Kēkalu vēyaṇḍi)	
cultural 	 సాంస్కృతిక 	(Sānskr̥tika)	
culture 	 సంస్కృతి 	(Sanskr̥ti)	
cup 	 కప్పు 	(Kappu)	
cupboard 	 అల్మారా 	(Almārā)	
curb 	 అరికట్టండి 	(Arikaṭṭaṇḍi)	
cure 	 నయం 	(Nayaṁ)	
curious 	 ఆసక్తిగా 	(Āsaktigā)	
curiously 	 ఆసక్తిగా 	(Āsaktigā)	
curl 	 కర్ల్ 	(Karl)	
curl up 	 వంకరగా 	(Vaṅkaragā)	
curly 	 గిరజాల 	(Girajāla)	
current 	 ప్రస్తుత 	(Prastuta)	
currently 	 ప్రస్తుతం 	(Prastutaṁ)	
curtain 	 తెర 	(Tera)	
curve 	 వంపు 	(Vampu)	
curved 	 వంపు తిరిగింది 	(Vampu tirigindi)	
custom 	 ఆచారం 	(Ācāraṁ)	
customer 	 కస్టమర్ 	(Kasṭamar)	
customs 	 ఆచారాలు 	(Ācārālu)	
cut 	 కట్ 	(Kaṭ)	
cut back 	 తగ్గించండి 	(Taggin̄caṇḍi)	
cut down 	 నరికి 	(Nariki)	
cut off 	 తెగిపోయింది 	(Tegipōyindi)	
cut out 	 కటౌట్ 	(Kaṭauṭ)	
cut up 	 కట్ అప్ 	(Kaṭ ap)	
cycle 	 చక్రం 	(Cakraṁ)	
cycling 	 సైకిల్ తొక్కడం 	(Saikil tokkaḍaṁ)	
dad 	 నాన్న 	(Nānna)	
daily 	 రోజువారీ 	(Rōjuvārī)	
damage 	 నష్టం 	(Naṣṭaṁ)	
damp 	 తడిగా 	(Taḍigā)	
dance 	 నృత్యం 	(Nr̥tyaṁ)	
dancer 	 నర్తకి 	(Nartaki)	
dancing 	 నృత్యం 	(Nr̥tyaṁ)	
danger 	 ప్రమాదం 	(Pramādaṁ)	
dangerous 	 ప్రమాదకరమైన 	(Pramādakaramaina)	
dare 	 ధైర్యం 	(Dhairyaṁ)	
dark 	 చీకటి 	(Cīkaṭi)	
data 	 డేటా 	(Ḍēṭā)	
date 	 తేదీ 	(Tēdī)	
date back 	 నాటిది 	(Nāṭidi)	
daughter 	 కూతురు 	(Kūturu)	
day 	 రోజు 	(Rōju)	
dead 	 చనిపోయాడు 	(Canipōyāḍu)	
deaf 	 చెవిటివాడు 	(Ceviṭivāḍu)	
deal 	 ఒప్పందం 	(Oppandaṁ)	
deal in 	 ఒప్పందం 	(Oppandaṁ)	
deal with 	 వ్యవహరించండి 	(Vyavaharin̄caṇḍi)	
dear 	 ప్రియమైన 	(Priyamaina)	
death 	 మరణం 	(Maraṇaṁ)	
debate 	 చర్చ 	(Carca)	
debt 	 అప్పు 	(Appu)	
decade 	 దశాబ్దం 	(Daśābdaṁ)	
decay 	 క్షయం 	(Kṣayaṁ)	
December 	 డిసెంబర్ 	(Ḍisembar)	
decide 	 నిర్ణయించుకుంటారు 	(Nirṇayin̄cukuṇṭāru)	
decide on 	 నిర్ణయించుకుంటారు 	(Nirṇayin̄cukuṇṭāru)	
decision 	 నిర్ణయం 	(Nirṇayaṁ)	
declare 	 ప్రకటించండి 	(Prakaṭin̄caṇḍi)	
decline 	 తగ్గుదల 	(Taggudala)	
decorate 	 అలంకరించండి 	(Alaṅkarin̄caṇḍi)	
decoration 	 అలంకరణ 	(Alaṅkaraṇa)	
decorative 	 అలంకారమైన 	(Alaṅkāramaina)	
decrease 	 తగ్గుదల 	(Taggudala)	
deep 	 లోతైన 	(Lōtaina)	
deeply 	 లోతుగా 	(Lōtugā)	
defeat 	 ఓటమి 	(Ōṭami)	
defence 	 రక్షణ 	(Rakṣaṇa)	
defend 	 రక్షించు 	(Rakṣin̄cu)	
define 	 నిర్వచించండి 	(Nirvacin̄caṇḍi)	
definite 	 ఖచ్చితమైన 	(Khaccitamaina)	
definitely 	 ఖచ్చితంగా 	(Khaccitaṅgā)	
