a	ఒక	oka	[sound:ఒక_google_female.mp3]
beneath	కింద	kinda	[sound:కింద_google_female.mp3]
benefit	ప్రయోజనం	prayōjanaṁ	[sound:ప్రయోజనం_google_female.mp3]
bent	వంగి	vaṅgi	[sound:వంగి_google_female.mp3]
beside	పక్కన	pakkana	[sound:పక్కన_google_female.mp3]
best	ఉత్తమమైనది	uttamamainadi	[sound:ఉత్తమమైనది_google_female.mp3]
bet	పందెం	pandeṁ	[sound:పందెం_google_female.mp3]
better	మెరుగైన	merugaina	[sound:మెరుగైన_google_female.mp3]
betting	బెట్టింగ్	beṭṭiṅg	[sound:బెట్టింగ్_google_female.mp3]
between	మధ్య	madhya	[sound:మధ్య_google_female.mp3]
beyond	దాటి	dāṭi	[sound:దాటి_google_female.mp3]
bicycle	సైకిల్	saikil	[sound:సైకిల్_google_female.mp3]
bid 1	వేలం 1	vēlaṁ 1	[sound:వేలం 1_google_female.mp3]
big	పెద్ద	pedda	[sound:పెద్ద_google_female.mp3]
bike	బైక్	baik	[sound:బైక్_google_female.mp3]
bill	బిల్లు	billu	[sound:బిల్లు_google_female.mp3]
billion	బిలియన్	biliyan	[sound:బిలియన్_google_female.mp3]
bin	డబ్బా	ḍabbā	[sound:డబ్బా_google_female.mp3]
biology	జీవశాస్త్రం	jīvaśāstraṁ	[sound:జీవశాస్త్రం_google_female.mp3]
bird	పక్షి	pakṣi	[sound:పక్షి_google_female.mp3]
birth	పుట్టుక	puṭṭuka	[sound:పుట్టుక_google_female.mp3]
birthday	పుట్టినరోజు	puṭṭinarōju	[sound:పుట్టినరోజు_google_female.mp3]
biscuit	బిస్కెట్	biskeṭ	[sound:బిస్కెట్_google_female.mp3]
bit	బిట్	biṭ	[sound:బిట్_google_female.mp3]
bite	కొరుకు	koruku	[sound:కొరుకు_google_female.mp3]
bitter	చేదు	cēdu	[sound:చేదు_google_female.mp3]
bitterly	చేదుగా	cēdugā	[sound:చేదుగా_google_female.mp3]
black	నలుపు	nalupu	[sound:నలుపు_google_female.mp3]
blade	బ్లేడ్	blēḍ	[sound:బ్లేడ్_google_female.mp3]
blame	నిందిస్తారు	nindistāru	[sound:నిందిస్తారు_google_female.mp3]
blank	ఖాళీ	khāḷī	[sound:ఖాళీ_google_female.mp3]
blind	అంధుడు	andhuḍu	[sound:అంధుడు_google_female.mp3]
block	నిరోధించు	nirōdhin̄cu	[sound:నిరోధించు_google_female.mp3]
blonde	అందగత్తె	andagatte	[sound:అందగత్తె_google_female.mp3]
blood	రక్తం	raktaṁ	[sound:రక్తం_google_female.mp3]
blow	దెబ్బ	debba	[sound:దెబ్బ_google_female.mp3]
blow out	బయటకు ఊదండి	bayaṭaku ūdaṇḍi	[sound:బయటకు ఊదండి_google_female.mp3]
blow up	పేల్చివేయు	pēlcivēyu	[sound:పేల్చివేయు_google_female.mp3]
blue	నీలం	nīlaṁ	[sound:నీలం_google_female.mp3]
board	బోర్డు	bōrḍu	[sound:బోర్డు_google_female.mp3]
boat	పడవ	paḍava	[sound:పడవ_google_female.mp3]
body	శరీరం	śarīraṁ	[sound:శరీరం_google_female.mp3]
boil	ఉడకబెట్టండి	uḍakabeṭṭaṇḍi	[sound:ఉడకబెట్టండి_google_female.mp3]
bomb	బాంబు	bāmbu	[sound:బాంబు_google_female.mp3]
bone	ఎముక	emuka	[sound:ఎముక_google_female.mp3]
book	పుస్తకం	pustakaṁ	[sound:పుస్తకం_google_female.mp3]
boot	బూట్	būṭ	[sound:బూట్_google_female.mp3]
border	సరిహద్దు	sarihaddu	[sound:సరిహద్దు_google_female.mp3]
bore	బోర్ కొట్టింది	bōr koṭṭindi	[sound:బోర్ కొట్టింది_google_female.mp3]
bored	నీరసం	nīrasaṁ	[sound:నీరసం_google_female.mp3]
boring	నీరసం	nīrasaṁ	[sound:నీరసం_google_female.mp3]
born	పుట్టింది	puṭṭindi	[sound:పుట్టింది_google_female.mp3]
borrow	అప్పు తీసుకుంటారు	appu tīsukuṇṭāru	[sound:అప్పు తీసుకుంటారు_google_female.mp3]
boss	బాస్	bās	[sound:బాస్_google_female.mp3]
both	రెండూ	reṇḍū	[sound:రెండూ_google_female.mp3]
bother	ఇబ్బంది పెడతారు	ibbandi peḍatāru	[sound:ఇబ్బంది పెడతారు_google_female.mp3]
bottle	సీసా	sīsā	[sound:సీసా_google_female.mp3]
bottom	దిగువన	diguvana	[sound:దిగువన_google_female.mp3]
bound	కట్టుబడి	kaṭṭubaḍi	[sound:కట్టుబడి_google_female.mp3]
bowl	గిన్నె	ginne	[sound:గిన్నె_google_female.mp3]
box	పెట్టె	peṭṭe	[sound:పెట్టె_google_female.mp3]
boy	అబ్బాయి	abbāyi	[sound:అబ్బాయి_google_female.mp3]
boyfriend	ప్రియుడు	priyuḍu	[sound:ప్రియుడు_google_female.mp3]
brain	మెదడు	medaḍu	[sound:మెదడు_google_female.mp3]
branch	శాఖ	śākha	[sound:శాఖ_google_female.mp3]
brand	బ్రాండ్	brāṇḍ	[sound:బ్రాండ్_google_female.mp3]
brave	ధైర్యవంతుడు	dhairyavantuḍu	[sound:ధైర్యవంతుడు_google_female.mp3]
bread	రొట్టె	roṭṭe	[sound:రొట్టె_google_female.mp3]
break	బ్రేక్	brēk	[sound:బ్రేక్_google_female.mp3]
break down	విచ్ఛిన్నం	vicchinnaṁ	[sound:విచ్ఛిన్నం_google_female.mp3]
breakfast	అల్పాహారం	alpāhāraṁ	[sound:అల్పాహారం_google_female.mp3]
break in	లోపలికి ప్రవేశించండి	lōpaliki pravēśin̄caṇḍi	[sound:లోపలికి ప్రవేశించండి_google_female.mp3]
break into	ప్రవేశించండి	pravēśin̄caṇḍi	[sound:ప్రవేశించండి_google_female.mp3]
break off	విడిపోతాయి	viḍipōtāyi	[sound:విడిపోతాయి_google_female.mp3]
break out	విరుచుకుపడతాయి	virucukupaḍatāyi	[sound:విరుచుకుపడతాయి_google_female.mp3]
break up	విడిపోతారు	viḍipōtāru	[sound:విడిపోతారు_google_female.mp3]
breast	రొమ్ము	rom'mu	[sound:రొమ్ము_google_female.mp3]
breath	శ్వాస	śvāsa	[sound:శ్వాస_google_female.mp3]
breathe	ఊపిరి పీల్చుకుంటారు	ūpiri pīlcukuṇṭāru	[sound:ఊపిరి పీల్చుకుంటారు_google_female.mp3]
breathe in	ఊపిరి పీల్చుకోండి	ūpiri pīlcukōṇḍi	[sound:ఊపిరి పీల్చుకోండి_google_female.mp3]
breathe out	ఊపిరి విడుదల చేయండి	ūpiri viḍudala cēyaṇḍi	[sound:ఊపిరి పీల్చుకోండి_google_female.mp3]
breathing	శ్వాస	śvāsa	[sound:శ్వాస_google_female.mp3]
breed	జాతి	jāti	[sound:జాతి_google_female.mp3]
brick	ఇటుక	iṭuka	[sound:ఇటుక_google_female.mp3]
bridge	వంతెన	vantena	[sound:వంతెన_google_female.mp3]
brief	క్లుప్తంగా	kluptaṅgā	[sound:క్లుప్తంగా_google_female.mp3]
briefly	క్లుప్తంగా	kluptaṅgā	[sound:క్లుప్తంగా_google_female.mp3]
bright	ప్రకాశవంతమైన	prakāśavantamaina	[sound:ప్రకాశవంతమైన_google_female.mp3]
brightly	ప్రకాశవంతంగా	prakāśavantaṅgā	[sound:ప్రకాశవంతంగా_google_female.mp3]
brilliant	తెలివైన	telivaina	[sound:తెలివైన_google_female.mp3]
bring	తీసుకురండి	tīsukuraṇḍi	[sound:తీసుకురండి_google_female.mp3]
bring back	తిరిగి తీసుకురండి	tirigi tīsukuraṇḍi	[sound:తిరిగి తీసుకురండి_google_female.mp3]
bring down	దించు	din̄cu	[sound:దించు_google_female.mp3]
bring forward	ముందుకు తీసుకురండి	munduku tīsukuraṇḍi	[sound:ముందుకు తీసుకురండి_google_female.mp3]
bring out	బయటకు తీసుకురండి	bayaṭaku tīsukuraṇḍi	[sound:బయటకు తీసుకురండి_google_female.mp3]
bring up	తీసుకురండి	tīsukuraṇḍi	[sound:తీసుకురండి_google_female.mp3]
broad	విశాలమైనది	viśālamainadi	[sound:విశాలమైనది_google_female.mp3]
broadcast	ప్రసారం	prasāraṁ	[sound:ప్రసారం_google_female.mp3]
broadly	విస్తృతంగా	vistr̥taṅgā	[sound:విస్తృతంగా_google_female.mp3]
broken	విరిగిపోయింది	virigipōyindi	[sound:విరిగిపోయింది_google_female.mp3]
brother	సోదరుడు	sōdaruḍu	[sound:సోదరుడు_google_female.mp3]
brown	గోధుమ రంగు	gōdhuma raṅgu	[sound:గోధుమ రంగు_google_female.mp3]
brush	బ్రష్	braṣ	[sound:బ్రష్_google_female.mp3]
bubble	బుడగ	buḍaga	[sound:బుడగ_google_female.mp3]
budget	బడ్జెట్	baḍjeṭ	[sound:బడ్జెట్_google_female.mp3]
build	నిర్మించు	nirmin̄cu	[sound:నిర్మించు_google_female.mp3]
building	భవనం	bhavanaṁ	[sound:భవనం_google_female.mp3]
build up	నిర్మించడానికి	nirmin̄caḍāniki	[sound:నిర్మించడానికి_google_female.mp3]
bullet	బుల్లెట్	bulleṭ	[sound:బుల్లెట్_google_female.mp3]
bunch	బంచ్	ban̄c	[sound:బంచ్_google_female.mp3]
burn	కాల్చండి	kālcaṇḍi	[sound:కాల్చండి_google_female.mp3]
burn down	కాల్చివేయుము	kālcivēyumu	[sound:కాల్చివేయుము_google_female.mp3]
burnt	కాలింది	kālindi	[sound:కాలింది_google_female.mp3]
burst	పగిలిపోతుంది	pagilipōtundi	[sound:పగిలిపోతుంది_google_female.mp3]
burst into	లోకి దూసుకుపోయింది	lōki dūsukupōyindi	[sound:లోకి దూసుకుపోయింది_google_female.mp3]
burst out	పగిలిపోయింది	pagilipōyindi	[sound:పగిలిపోయింది_google_female.mp3]
bury	పాతిపెట్టు	pātipeṭṭu	[sound:పాతిపెట్టు_google_female.mp3]
bus	బస్సు	bas'su	[sound:బస్సు_google_female.mp3]
bush	పొద	poda	[sound:పొద_google_female.mp3]
business	వ్యాపారం	vyāpāraṁ	[sound:వ్యాపారం_google_female.mp3]
businessman	వ్యాపారవేత్త	vyāpāravētta	[sound:వ్యాపారవేత్త_google_female.mp3]
busy	బిజీగా ఉన్నారు	bijīgā unnāru	[sound:బిజీగా ఉన్నారు_google_female.mp3]
but	కాని	kāni	[sound:కాని_google_female.mp3]
butter	వెన్న	venna	[sound:వెన్న_google_female.mp3]
button	బటన్	baṭan	[sound:బటన్_google_female.mp3]
buy	కొనండి	konaṇḍi	[sound:కొనండి_google_female.mp3]
buyer	కొనుగోలుదారు	konugōludāru	[sound:కొనుగోలుదారు_google_female.mp3]
by	ద్వారా	dvārā	[sound:ద్వారా_google_female.mp3]
bye	బై	bai	[sound:బై_google_female.mp3]
cabinet	మంత్రివర్గం	mantrivargaṁ	[sound:మంత్రివర్గం_google_female.mp3]
cable	కేబుల్	kēbul	[sound:కేబుల్_google_female.mp3]
cake	కేక్	kēk	[sound:కేక్_google_female.mp3]
calculate	లెక్కించు	lekkin̄cu	[sound:లెక్కించు_google_female.mp3]
calculation	గణన	gaṇana	[sound:గణన_google_female.mp3]
call	కాల్ చేయండి	kāl cēyaṇḍi	[sound:కాల్ చేయండి_google_female.mp3]
call back	తిరిగి కాల్ చేయండి	tirigi kāl cēyaṇḍi	[sound:తిరిగి కాల్ చేయండి_google_female.mp3]
called	అని పిలిచారు	ani pilicāru	[sound:అని పిలిచారు_google_female.mp3]
call for	కోసం కాల్	kōsaṁ kāl	[sound:కోసం కాల్_google_female.mp3]
call off	కాల్ ఆఫ్	kāl āph	[sound:కాల్ ఆఫ్_google_female.mp3]
call up	కాల్ చేయండి	kāl cēyaṇḍi	[sound:కాల్ చేయండి_google_female.mp3]
calm	ప్రశాంతత	praśāntata	[sound:ప్రశాంతత_google_female.mp3]
calm down	శాంతించండి	śāntin̄caṇḍi	[sound:శాంతించండి_google_female.mp3]
calmly	ప్రశాంతంగా	praśāntaṅgā	[sound:ప్రశాంతంగా_google_female.mp3]
camera	కెమెరా	kemerā	[sound:కెమెరా_google_female.mp3]
